TNPO2	12671007	12695810
ZNF572	126054719	126060811
SPHKAP	228552913	228754605
ACCSL	44026106	44038103
MAP3K13	186483422	186493561
TAF8	42126228	42156622
EMC10	55671545	55678595
TBC1D5	17173657	17757403
SLC25A17	39495579	39545349
PTGR1	113365067	113401532
SHC1	153201397	153209847
TMEM130	98282046	98305609
LOC100506603	76317828	76322820
ASS1	132309914	132366482
ANKFN1	51585834	51915006
GUSBP1	21495345	21533062
RPS16P5	53307216	53310374
CCP110	19442679	19472229
KCNH5	62243047	62581709
SLC35B2	44329815	44333067
MMP27	102067624	102081678
SEPT5-GP1BB	18084742	18092297
PDZD7	102757429	102780904
LINC01405	109858788	109859633
SMG1P5	30186414	30254196
ITGA2	52320912	52426366
LINC00508	126934488	127034389
CTNNA1	138238817	138298622
ZNF691	43084830	43090733
SRGAP3	8997275	9266369
AKAP1	52517551	52553709
TMEM5	62459849	62489605
VAV3	107915304	108309068
MS4A4A	59804589	59833021
NDRG3	34713582	34807955
LOC100506801	21492369	21498949
APAF1	97563208	97653342
HEATR6	55475333	55511074
C12orf40	38306238	38401985
LGMN	92239904	92284800
ELN	73080054	73122172
LOC100507006	64309038	64333169
LOC101928661	146957345	146961760
PSG1	48063197	48075711
SNRK	43303007	43367638
ARHGEF9	62771572	62922151
ID2-AS1	8728564	8739444
PKIG	42593835	42681092
FPGS	129604957	129616181
FANCL	58239881	58322019
HSPA8	122433409	122438253
DCLRE1C	14986615	15036437
ABHD11	72788362	72791120
C2orf72	231610524	231622671
KLHL13	116915803	117135331
ENY2	110415727	110427365
P4HA3	73655341	73700369
ZPLD1	103636548	103681375
LOC728730	39518060	39681988
CYP4F8	15587028	15601447
LOC100130964	39539787	39556810
MIR5704	133187388	133187465
BRI3	97748914	97760211
TMEM144	159350850	159395889
VPS29	109413710	109424328
GDAP1L1	42309152	42342971
LOC103312105	38596389	38624482
GABBR2	100090184	100511300
XRCC5	216682264	216779261
PIK3R5	8722957	8756559
PTCH1	97245084	97309520
MIR4419A	23256937	23257014
SDCBP2	1238554	1242317
CAB39L	48780786	48885888
FGF22	590894	594703
SLC35D2	98115539	98185813
LGMN	92239904	92284800
EFCAB6-AS1	42243466	42263818
IL1RAP	191714533	191852002
BMP8A	39729904	39768128
ZNF730	23091616	23121854
NDUFA2	140005131	140007554
UBE2I	1299154	1317020
NCBP2	198146669	198153861
SLX1B	30112664	30116388
PRB3	11310113	11313908
LOC101927459	112064354	112108838
CLEC17A	14554895	14582956
CARF	203485185	203559453
CXorf40A	148430424	148437782
SNAPC1	61298827	61332899
PALLD	169789342	170086183
CDK5RAP3	43403320	43414151
GHR	42601722	42757737
ATP7A	77052808	77192548
TNPO1	72179685	72245971
CHST8	38804700	38956254
LOC100132077	96134578	96163051
HAND1	153834724	153838017
SLC35A5	113763546	113785974
HLA-DQA1	32713160	32719407
ALG13	110811053	110820279
SMARCA1	128408158	128485163
RGS10	121249328	121292212
TMEM218	124469476	124486869
ARHGAP35	52113772	52200173
SLC35E2B	1582801	1614103
NIPBL	36912617	37101678
MOXD2P	141587028	141593361
ZC3H14	88099005	88149606
USP17L19	8964461	8966054
OR6C6	53974338	53975283
SNAP91	84319323	84475566
SLC2A13	38435089	38785928
NTNG2	134027154	134108041
SYT12	66546765	66574910
UBAP1	34169002	34242521
P2RY1	154035425	154038533
IQCA1	236897528	237080917
TAC4	45270669	45280378
CECR1	16039679	16080475
CNNM2	104668064	104828334
USP39	85692736	85729918
BAX	54149928	54156867
CIRH1A	67723999	67760438
ZNF821	70451083	70475594
TIMM22	847106	852140
GLRX2	191332217	191341867
DAB2	39407532	39461092
PPP1CA	66922227	66925952
CUX1	101245903	101713970
LOC283194	58457691	58582501
C1QB	22852268	22860616
GALNT9	131246869	131256526
OR6N2	157013095	157014049
SLC16A9	61080527	61139655
STRBP	124923728	125070676
GTF2A1L	48698422	48760256
ACTR6	99117995	99142333
ETHE1	48702710	48723236
PPP2R2D	133597949	133623328
RSPH10B2	6760264	6804921
CDKN2D	10538137	10540655
AFAP1	7811339	7992553
GTF2H2C_2	350590	382884
STMND1	17210467	17239582
LOC101929563	23490688	23662397
MSLN	750765	758866
NANOGNB	7809078	7817984
KRTAP10-11	44890758	44891994
POLR2B	57539562	57592085
TASP1	13318035	13567583
NCAPG2	158116621	158190283
ZNF667-AS1	61681054	61698617
PF4	75065405	75066705
PDYN	1907401	1922931
HOOK2	12734816	12747434
KLF10	103730180	103735368
ARL6	98966054	99000069
BAG6	3052922	3066603
ZSCAN16-AS1	28197551	28213073
CTNNB1	41215945	41256943
TAS2R19	11065484	11066486
RASD2	34267297	34279991
LOC100288866	44938017	45006425
SORBS1	97061519	97190927
ASB15	123029156	123065170
IQCK	19635278	19776360
NSFL1C	1370806	1396337
RNF7	142939740	142948335
FDPS	153545162	153557081
SHCBP1	45171968	45212812
LINC01158	104788314	104834366
KIF6	39410853	39507128
TNIP2	2713184	2727901
LINC01168	134629027	134639991
RPL14	40473786	40478867
